분류,일반/특별,제휴사,프로모션명,시작일,종료일,내용,혜택,카테고리,Thumbnail,Detail,URL
제휴,일반,,플랫팜 포인트 대방출 이벤트,2026.03.18,2026.04.22,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F03%2F2603172354220016624.webp&w=750&q=85,,
제휴,일반,더이로운,더이로운 AI 헬스체커 상담신청,2026.04.08,2027.06.01,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604090026290016856.webp&w=750&q=85,C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\더이로운 AI 헬스체커 상담신청_2026_1.webp|C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\더이로운 AI 헬스체커 상담신청_2026_2.webp|C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\더이로운 AI 헬스체커 상담신청_2026_3.webp,https://www.platpharm.co.kr/pharmacy/events?eventId=275
제휴,일반,종근당,위고비 심포지엄 신청,2026.03.23,2026.04.04,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F03%2F2603240339420002948.webp&w=750&q=85,,
제휴,일반,보고신약,보고신약 4월 단독 입점기념 프로모션,2026.04.13,2026.05.02,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604170555450004857.webp&w=750&q=85,C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\보고신약 4월 단독 입점기념 프로모션_2026_1.webp,https://www.platpharm.co.kr/pharmacy/events?eventId=276
제휴,일반,종근당,젠빅 리뉴얼 기념 퀴즈 이벤트,2026.04.08,2026.05.02,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604070857120009543.webp&w=750&q=85,C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\젠빅 리뉴얼 기념 퀴즈 이벤트_2026_1.webp|C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\젠빅 리뉴얼 기념 퀴즈 이벤트_2026_2.webp|C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\젠빅 리뉴얼 기념 퀴즈 이벤트_2026_3.webp,https://www.platpharm.co.kr/pharmacy/events?eventId=274
제휴,일반,종근당,종근당 브레이닝캡슐 퀴즈 이벤트,2026.04.07,2026.05.01,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604070131490019792.webp&w=750&q=85,C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\종근당 브레이닝캡슐 퀴즈 이벤트_2026_1.webp|C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\종근당 브레이닝캡슐 퀴즈 이벤트_2026_2.webp|C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\종근당 브레이닝캡슐 퀴즈 이벤트_2026_3.webp,https://www.platpharm.co.kr/pharmacy/events?eventId=273
자체,일반,토스페이먼츠,퀵 계좌이체 1.5% 할인,2026.04.01,2026.04.30,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604060028530005587.webp&w=750&q=85,,
제휴,일반,토스페이먼츠,토스페이 결제 혜택 프로모션 연장,2026.04.01,2026.05.01,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604010751290013602.webp&w=750&q=85,C:\Users\picoi\Desktop\Projects\quasi_drug\data\platpharm\events\토스페이 결제 혜택 프로모션 연장_2026_1.webp,https://www.platpharm.co.kr/pharmacy/events?eventId=272
제휴,일반,이팜,이팜 4월 월간이벤트,2026.04.01,2026.05.01,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F03%2F2603270050280016093.webp&w=750&q=85,,
제휴,일반,29데이즈,29데이즈 입점 이벤트,2026.04.01,2026.05.02,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604010545000008663.webp&w=750&q=85,,
제휴,일반,경남은행,[경남은행] BNK 메디칼론 금리 인하 이벤트,2026.01.30,2026.05.02,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F01%2F2601300036360010878.webp&w=750&q=85,,
제휴,일반,토스페이먼츠,토스페이먼츠 최대 0.5% 즉시 카드할인,2025.12.03,2026.06.30,,,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2025%2F12%2F2512030458450002532.webp&w=750&q=85,,
