분류,일반/특별,제휴사,프로모션명,기한,내용,카테고리,혜택,Thumbnail,Detail
[Saeropharm] 미분류,일반,,4월 롯데카드 신규 발급 & 즉시할인 이벤트 (즉시할인 종료),2026.04.06 ~ 2026.04.30,,,,https://img.saeropharm.com/data/base/cate/wm_list_264.jpg,
[Saeropharm] 미분류,일반,,새로팜 '이음도약' 서비스 오픈 🎉,2026.04.01 ~ 9999.05.31,,,,https://img.saeropharm.com/data/base/cate/%EC%9D%B4%EB%B2%A4%ED%8A%B8%EB%AA%A9%EB%A1%9D%EB%B0%B0%EB%84%88_%EA%B3%B5%ED%86%B5_720_486_19.jpg,
[Saeropharm] 미분류,일반,,4월 쿠폰 더블 이벤트,2026.04.01 ~ 2026.04.30,,,,https://img.saeropharm.com/data/base/cate/coupon_list_59.jpg,
[Saeropharm] 미분류,일반,,4월 외품 이벤트 모음📌,2026.04.01 ~ 2026.04.30,,,,https://img.saeropharm.com/data/base/cate/%EC%9D%B4%EB%B2%A4%ED%8A%B8%EB%AA%A9%EB%A1%9D%EB%B0%B0%EB%84%88_%EA%B3%B5%ED%86%B5_720_486_13.jpg,
[Saeropharm] 미분류,일반,,4월 KB Pay 즉시할인 이벤트,2026.04.01 ~ 2026.04.30,,,,https://img.saeropharm.com/data/base/cate/wm_list_182_25.jpg,
[Saeropharm] 미분류,일반,,4월 하나카드 즉시할인 이벤트,2026.04.01 ~ 2026.04.30,,,,https://img.saeropharm.com/data/base/cate/wm_list_262.jpg,
[Saeropharm] 미분류,일반,,4월 외품 쿠폰 모음🎫,2026.04.01 ~ 2026.04.30,,,,https://img.saeropharm.com/data/base/cate/%EC%9D%B4%EB%B2%A4%ED%8A%B8%EB%AA%A9%EB%A1%9D%EB%B0%B0%EB%84%88_%EA%B3%B5%ED%86%B5_720_486_17.jpg,
[Saeropharm] 미분류,일반,,2026년 새로팜 멤버십 개편🎉,2026.01.01 ~ 2026.12.31,,,,https://img.saeropharm.com/data/base/cate/wm_list_256.jpg,
[Saeropharm] 미분류,일반,,CJONE 포인트 적립,2025.07.01 ~ 2356.12.31,,,,https://img.saeropharm.com/data/base/cate/wm_list_cjone.jpg,
[Saeropharm] 미분류,일반,,새로팜 X 네이버페이 프로모션,2024.10.28 ~ 2026.12.31,,,,https://img.saeropharm.com/data/base/cate/wm_list_148.jpg,
