카테고리1,카테고리2,업체명,URL,Store_id
건강식품,,(주)웨일즈,https://www.baropharm.com/brand/,juice-up
건강식품,,고철남,https://www.baropharm.com/brand/,kocheolnam
화장품,,글로비더마,https://www.baropharm.com/brand/,remajuone
건강식품,,네이처파트너스,https://www.baropharm.com/brand/,nature1
의약외품,,노스크,https://www.baropharm.com/brand/,nosk22
의약외품,,다빛바이오,https://www.baropharm.com/brand/,dabitbio
건강식품,,닥터오라클,https://www.baropharm.com/brand/,droracle
동물의약용품,,댕모어,https://www.baropharm.com/brand/,dangmore
건강식품,,더건강드림(3k),https://www.baropharm.com/brand/,the_health_dream
화장품,,더마코스메틱,https://www.baropharm.com/brand/,SBNF
동물의약용품,,더보양,https://www.baropharm.com/brand/,the_boyang
의약외품,,더원스타,https://www.baropharm.com/brand/,theonestar
약국용품,,도아물산,https://www.baropharm.com/brand/,goodmore
건강식품,,동아오츠카,https://www.baropharm.com/brand/,BODYMAINTE
건강식품,,디뉴,https://www.baropharm.com/brand/,dinu
화장품,,디어로렌,https://www.baropharm.com/brand/,dearlauren
화장품,,디핑컴퍼니,https://www.baropharm.com/brand/,coolwash
의약외품,,딥아이스,https://www.baropharm.com/brand/,deepice
의약외품,화장품,라보타치,https://www.baropharm.com/brand/,labottach
의약외품,,라엘,https://www.baropharm.com/brand/,Rael
건강식품,,라온아토,https://www.baropharm.com/brand/,dr.laon
화장품,,라콤,https://www.baropharm.com/brand/,cell29
의약외품,,래피젠스토어,https://www.baropharm.com/brand/,rapigen
화장품,,레이브힐,https://www.baropharm.com/brand/,RAVEHEAL
의약외품,,리벨라,https://www.baropharm.com/brand/,rivellakorea
의약외품,,리스테린,https://www.baropharm.com/brand/,listerine
화장품,,리쥬비앙스,https://www.baropharm.com/brand/,beaueat112
건강식품,,링티,https://www.baropharm.com/brand/,lingtea
건강식품,,마로셀,https://www.baropharm.com/brand/,marocell
건강식품,,맥스메이드,https://www.baropharm.com/brand/,maxmade1
화장품,,메디리턴겔,https://www.baropharm.com/brand/,Medireturn
의약외품,,메디미플러스,https://www.baropharm.com/brand/,medime
약국용품,,메디칼현대,https://www.baropharm.com/brand/,medicalhd
건강식품,,메타웰미,https://www.baropharm.com/brand/,metawell
건강식품,,멜로시라 마리스,https://www.baropharm.com/brand/,marismelosira
건강식품,,모어네이처,https://www.baropharm.com/brand/,morenature
건강식품,,무아행,https://www.baropharm.com/brand/,stom1000
동물의약용품,,미림펫,https://www.baropharm.com/brand/,milimpet
의약외품,,바로팜X해솔(전산봉투),https://www.baropharm.com/brand/,haesol
화장품,,바른채움,https://www.baropharm.com/brand/,baleuncosmetic
화장품,,바를,https://www.baropharm.com/brand/,barle
건강식품,,바이래오,https://www.baropharm.com/brand/,byleo
건강식품,,바이오가이아,https://www.baropharm.com/brand/,biogaia
건강식품,,바이오탑,https://www.baropharm.com/brand/,bio-top
동물의약용품,,바잇미,https://www.baropharm.com/brand/,biteme
건강식품,,반가운웰니스,https://www.baropharm.com/brand/,banobagi
건강식품,,밥스누,https://www.baropharm.com/brand/,bobsnu
의약외품,,베이비피아,https://www.baropharm.com/brand/,yecomam
건강식품,,보타니스타,https://www.baropharm.com/brand/,botanista
의약외품,,복스니코제로,https://www.baropharm.com/brand/,laonslab
화장품,,블루밍벤처,https://www.baropharm.com/brand/,ovmentstore
건강식품,,블루존,https://www.baropharm.com/brand/,SORBUS
약국용품,,비앤피팩,https://www.baropharm.com/brand/,bnppack
건강식품,,비엠코,https://www.baropharm.com/brand/,bmco
의약외품,,비타센스,https://www.baropharm.com/brand/,vitasense
