출처섹션,도매카테고리,업체명,store_id,상품카테고리,상품명,규격,가격,품절여부,수집일
수동지정,수동지정,store_274,274,전체,주문관리,심평원통계,17000,True,2026-05-14
수동지정,수동지정,store_274,274,전체,의약외상품,건강식품,17000,True,2026-05-14
수동지정,수동지정,store_274,274,전체,[기획20+1] 듀오덤 엑스트라 씬 (제이웨이브),10cm*10cm 2매,110000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,[기획5+1] 케어센스 엔(N) 혈당시험지(50매) 5EA+기계 1EA,5EA+1EA,70000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,듀오덤 엑스트라 씬 (제이웨이브),10cm*10cm 2매,7000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,비디 울트라파인 프로(PRO) 펜니들,32G*4mm,18000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,NEW 케어센스 펜니들(멸균주사침),32G*4mm*100pcs,9000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,웰빙헬스 명품 고운발,110g,5500,False,2026-05-14
수동지정,수동지정,store_274,274,전체,듀오덤 엑스트라씬,10*10cm,20000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,바세린 오리지날 프로텍팅 젤리 100ml,100ml,2500,False,2026-05-14
수동지정,수동지정,store_274,274,전체,명문제약 비타롱 플러스,(블루펀치/라즈베리),1,True,2026-05-14
수동지정,수동지정,store_274,274,전체,보령 알부민 프리미엄 골드,20ml,47785,False,2026-05-14
수동지정,수동지정,store_274,274,전체,NEW 컨디션 스틱 젤리(그린애플맛/행오버/숙취개선효과),18g*10P,15000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,(흰색)삼현 써지리뉴 스왑(알콜스왑),8%,1200,False,2026-05-14
수동지정,수동지정,store_274,274,전체,프랩스왑 (알콜스왑/목화솜70%함유),100매,2500,False,2026-05-14
수동지정,수동지정,store_274,274,전체,[바로잰II 전용] 혈당 검사지,50매,17600,False,2026-05-14
수동지정,수동지정,store_274,274,전체,(신)3M 마이크로포(종이반창고),1533-1 살구색 2.5cm,15000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,바슈롬 리뉴 후레쉬,355ml,5000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,비디 마이크로파인 펜니들,31G*5mm*100pcs,18000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,웰빙헬스 고운손 핸드크림,25g,1300,False,2026-05-14
수동지정,수동지정,store_274,274,전체,NEW)듀오덤 스팟패치(의료기기/하이드로콜로이드/혼합형/원형/자외선차단),52매,56000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,뉴아텍스 키네시테이핑(이동국테이핑),5cm*5m,1,False,2026-05-14
수동지정,수동지정,store_274,274,전체,혈당스트립 케어센스 N 혈당측정지,13%,15000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,안아파 네오듐1800 (통증완화/자석파스),10개입 40매,13000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,히딩크 프리미엄 OK 동전 통증패치 105매(근육통완화/오케이 동전파스),105매,8500,False,2026-05-14
수동지정,수동지정,store_274,274,전체,알유21(RU-21),750mg 6T,3500,False,2026-05-14
수동지정,수동지정,store_274,274,전체,시린메드에프치약,125g,5600,False,2026-05-14
수동지정,수동지정,store_274,274,전체,대웅 웅기보(포),600mg*2T*400P,99900,False,2026-05-14
수동지정,수동지정,store_274,274,전체,NEW)듀오덤 스팟패치(의료기기/하이드로콜로이드/혼합형/원형/자외선차단),52매,6000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,아큐첵 인스턴트 혈당측정지(스트립),50매,15400,False,2026-05-14
수동지정,수동지정,store_274,274,전체,이도스킨스왑에이(알콜스왑/에탄올스왑),100매,2500,False,2026-05-14
수동지정,수동지정,store_274,274,전체,뉴아텍스 키네시테이핑(이동국테이핑),5cm*5m,6,False,2026-05-14
수동지정,수동지정,store_274,274,전체,콘바텍 듀오덤 엑스트라씬,(10cm*10cm)*10매,19500,False,2026-05-14
수동지정,수동지정,store_274,274,전체,큐라틱 구내염패치 10매입,10매,8000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,신포장)알티지 오메가3클린,1201mg,39000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,바이오가이아 프로텍티스 이지 드롭 프로바이오틱스+비타민D,10ml,44969,False,2026-05-14
수동지정,수동지정,store_274,274,전체,3M 넥스케어 냉온 찜질팩,(컴포트),7200,False,2026-05-14
수동지정,수동지정,store_274,274,전체,아스트로글라이드 오리지널 마사지 로션,ML,19000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,노코딩원 혈당측정지(스트립),50매입,17000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,듀오덤 엑스트라 씬 (제이웨이브),10cm*10cm 2매,10,False,2026-05-14
수동지정,수동지정,store_274,274,전체,NEW 컨디션 스틱 젤리(자두맛/행오버/숙취개선효과),18g,15000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,밴드닥터(덕용),20매,12000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,노즈큐어 코세정 리필분말(코세척),60포,9000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,케어센스 엔(N) 혈당시험지,50매,13500,False,2026-05-14
수동지정,수동지정,store_274,274,전체,쿨민트 리스테린액,750ml,6000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,오므론 자동전자혈압계,HEM-7140T1(팔뚝형/블루투스),55000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,종근당건강 코큐텐 플러스,500mg,26000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,일양약품 콜라겐톡톡(저분자 피쉬콜라겐),2g*120P,41500,False,2026-05-14
수동지정,수동지정,store_274,274,전체,NEW 시린메드에프 치약(무색소/무보존제),125g,6000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,NEW 컨디션 스틱 젤리 제로(행오버/숙취개선효과),컨디션맛 18g*10P,11000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,알유21(RU-21),750mg,42000,False,2026-05-14
수동지정,수동지정,store_274,274,전체,NEW 서울안대 플러스(고급형/돌출형/감마멸균),1매,770,False,2026-05-14
수동지정,수동지정,store_274,274,전체,호올스(홀스-자몽),9T,13000,False,2026-05-14
