카테고리1,카테고리2,업체명,store_id,상품카테고리,상품소분류,상품명,규격,단위수량,단위,할인율,가격,할인전가격,포인트백,품절여부,수집일
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업] 프리미엄 유산균 주스업 팥차,선물세트 80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업] 프리미엄 유산균 주스업 검은콩차,선물세트 80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[신제품 출시] 주스업 프리미엄 유산균 레몬주스,선물세트 80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업]프리미엄 유산균 푸룬주스(10팩 선물세트),80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업]프리미엄 유산균 ABC주스(10팩 선물세트),80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업]프리미엄 유산균 석류주스(10팩 선물세트),80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업]프리미엄 유산균 호박주스(10팩 선물세트),80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업]프리미엄 유산균 모로오렌지주스(10팩 선물세트),80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업]프리미엄 유산균 배도라지즙(10팩 선물세트),80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업]프리미엄 유산균 사과즙(10팩 선물세트),80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업]프리미엄 유산균 양배추즙(10팩 선물세트),80ml,10,EA,58%,7500,18000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업] 프리미엄 유산균 주스업 검은콩차,낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,[주스업] 프리미엄 유산균 주스업 팥차,팥차/낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,주스업 프리미엄 유산균 레몬주스(낱개판매전용),낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,주스업 프리미엄 유산균 모로오렌지주스,낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,주스업 프리미엄 유산균 석류즙 석류주스,낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,주스업 프리미엄 유산균 양배추즙,낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,주스업 프리미엄 유산균 사과즙 사과주스,낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,주스업 프리미엄 유산균 호박즙,낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,주스업 프리미엄 유산균 푸룬주스,낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,주스업 프리미엄 유산균 배도라지즙,낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,(주)웨일즈,juice-up,건강식품,건강음료/드링크/숙취해소,주스업 프리미엄 유산균 ABC주스,낱개판매전용 80ml,80,EA,53%,56000,120000,,False,2026-05-19
건강식품,,고철남,kocheolnam,건강기능식품,건강기능식품,[고철남헬스케어] 하루한포 액상 철분제 10ml x 30포,10ml,30,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,건강식품,건강음료/드링크/숙취해소,[고철남헬스케어] 발효 흑도라지 배 쌍화 생강청 배도라지 청 짜먹는 스틱,10ml,100,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,건강식품,건강음료/드링크/숙취해소,[고철남헬스케어] 발효 도라지배즙 앤 모과 80ml x 30포,80ml,30,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남헬스케어] 6년근 고려홍삼정 스탠다드 홍삼스틱 13g x 100포,13g,100,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남홍삼] 6년근 하루한포 전체식 홍삼스틱365 10g x 100포,10g,100,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남홍삼] 6년근 하루한포 전체식 홍삼스틱365 10g x 30포,10g,30,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남홍삼] 청소년 전체식 홍삼스틱 하루한포 1019틴 10ml x 100포,10ml,100,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남홍삼] 청소년 전체식 홍삼스틱 하루한포 1019틴 10ml x 30포,10ml,30,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남홍삼] 전체식 홍삼스틱 하루한포 10ml x 100포,10ml,100,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남홍삼] 전체식 홍삼스틱 하루한포 10ml x 30포,10ml,30,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남홍삼] 어린이 전체식홍삼 꿀먹은아이홍삼 20ml x 100포,20ml,100,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남홍삼] 어린이 전체식홍삼 꿀먹은아이홍삼 20ml x 30포,20ml,30,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남홍삼] 프리미엄 전체식 홍삼진액 빼어날 수 50ml x 30포,50ml,30,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,홍삼/버섯,홍삼/버섯,[고철남홍삼] 프리미엄 전체식 홍삼진액 빼어날 수 50ml x 60포,50ml,60,포,,0,0,,True,2026-05-19
건강식품,,고철남,kocheolnam,혈행/혈압/혈당건강,혈행/혈압/혈당건강,하루한포 혈당케어 혈당관리 바나바 액상스틱 10g x 30포,10g,30,포,,0,0,,True,2026-05-19
화장품,,글로비더마,remajuone,기능성/트러블,기능성/트러블,"[5% 포인트백/10+2] 리마쥬원 PDRN 10,000 ppm 피디알엔 크림",20g 1 크림,,,56%,15500,35000,,False,2026-05-19
건강식품,,네이처파트너스,nature1,건강기능식품,건강기능식품,[BP] 안문숙 권영찬 추천 프리미엄 물개 오메가3 셀올예 120캡슐 2개월,,1,캡슐,,0,0,,True,2026-05-19
의약외품,,노스크,nosk22,눈/코/입/귀,눈/코/입/귀,"노스크 코마스크 꽃가루, 먼지차단 일회용 FDA CE인증",,,,68%,3900,12000,,False,2026-05-19
의약외품,,노스크,nosk22,마스크/방한대,마스크/방한대,노스크 끈조절  빨아쓰는 수영장 자외선차단 패션마스크,5개입,1,EA,62%,6800,18000,,False,2026-05-19
의약외품,,노스크,nosk22,마스크/방한대,마스크/방한대,노스크 귀 끈조절 새부리형 유아 어린이 건강마스크 3매입,3매입,1,EA,83%,750,4500,,False,2026-05-19
의약외품,,노스크,nosk22,발관리/수액시트,발관리/수액시트,[노스크] 아가발처럼 (힐패드 각질양말),,1,켤레,45%,4900,8900,,False,2026-05-19
의약외품,,노스크,nosk22,보호대/교정용품,보호대/교정용품,노스크 프리미엄 허리보호대 free-size,,,,72%,19800,69800,,False,2026-05-19
의약외품,,노스크,nosk22,보호대/교정용품,보호대/교정용품,[노스크] 프리미엄 패턴 압박스타킹,,,,78%,7500,34800,,False,2026-05-19
의약외품,,노스크,nosk22,보호대/교정용품,보호대/교정용품,노스크 종아리 압박스타킹,,,,75%,6000,23800,,False,2026-05-19
의약외품,,노스크,nosk22,보호대/교정용품,보호대/교정용품,[노스크] 뉴 테이핑 발목보호대,S 1개입,1,EA,53%,7900,16900,,False,2026-05-19
의약외품,,노스크,nosk22,보호대/교정용품,보호대/교정용품,[노스크] 뉴 테이핑 무릎보호대,S 1개입,1,EA,53%,8900,18900,,False,2026-05-19
의약외품,,노스크,nosk22,보호대/교정용품,보호대/교정용품,[노스크] 뉴 테이핑 발목보호대,L 1개입,1,EA,,0,0,,True,2026-05-19
의약외품,,노스크,nosk22,보호대/교정용품,보호대/교정용품,[노스크] 뉴 테이핑 발목보호대,M 1개입,1,EA,53%,7900,16900,,False,2026-05-19
