카테고리,상품명,규격,가격,출처,상품코드
거즈/붕대/탈지면,이케어 멸균거즈 3호,5cm*5cm*8겹/5매*20포,3370,platpharm,2407080430040063
거즈/붕대/탈지면,이케어 클린스왑(알콜스왑/에탄올스왑),100매/1EA,1290,platpharm,
거즈/붕대/탈지면,[약국전용]블루본 황사방역마스크 KF94(대형/화이트/새부리형),5매 / 1EA,2200,platpharm,
거즈/붕대/탈지면,이케어 인슐린 펜니들,32G*4mm/100pcs,6840,platpharm,
거즈/붕대/탈지면,신성 탄력붕대,10cm*1.9m / 12EA,6380,platpharm,2411190627521979
거즈/붕대/탈지면,유성진 탈지면(각솜)절단솜,20g / 1EA,600,platpharm,2502270157365245
거즈/붕대/탈지면,상공 탄력붕대,7.5cm*190cm/12EA,6990,platpharm,2410250203260955
거즈/붕대/탈지면,상공멸균거즈(중),7.5cm*7.5cm*8겹/5매*20EA,9289,platpharm,2410250200130950
거즈/붕대/탈지면,유성진멸균가아제이중포장 S,5cm*5cm*8겹 / 5P*20EA,4710,platpharm,2411190036205009
거즈/붕대/탈지면,밴드골드코바(자가점착붕대),(1inch)2.5cm*4.5m/2EA,1450,platpharm,2410230621380348
거즈/붕대/탈지면,성진 탈지면(코튼볼),50g / 1EA,1200,platpharm,2411150559452000
거즈/붕대/탈지면,신성 탄력붕대,5cm*1.9m / 12EA,4020,platpharm,2411190626511973
거즈/붕대/탈지면,신성 탄력붕대,7.5cm*1.9m / 12EA,5060,platpharm,2411190627311977
거즈/붕대/탈지면,상공 압축 탈지면(절단솜) 세트,20g*10EA/1SET,9489,platpharm,2410250145060931
거즈/붕대/탈지면,수성붕대-엔,5cm*540cm*12개입/1EA,2490,platpharm,2409260108460312
거즈/붕대/탈지면,수성 거즈-엔,5cm*5cm*8p/200pcs,2330,platpharm,2409260053130274
거즈/붕대/탈지면,이케어 멸균거즈 3호,10cm*10cm*8겹/5매*20포,6580,platpharm,2407080436020065
거즈/붕대/탈지면,상공멸균거즈(대),10cm*10cm*8겹/5매*20EA,10769,platpharm,2410250201390953
거즈/붕대/탈지면,수성 거즈-엔,10cm*10cm*4p/200pcs,4660,platpharm,2409260056400278
거즈/붕대/탈지면,수성 탈지면,10g / 1EA,300,platpharm,2411150742183165
거즈/붕대/탈지면,3M 코반 1583(접착식 탄력붕대),7.5cm*4.5m / 1EA,3090,platpharm,2502270221420134
거즈/붕대/탈지면,성진탈지면 L,150g / 1EA,2000,platpharm,2411150607042063
거즈/붕대/탈지면,밴드골드 코바(자가 점착 붕대),2인치(50mm*4.5m)/1EA,1200,platpharm,2410230622370350
거즈/붕대/탈지면,상공 탄력붕대,10cm*190cm/12EA,8500,platpharm,2410250204140957
거즈/붕대/탈지면,수성 포비스 멸균바세린 패드세트,10Cm *10cm*3pack / 20EA,48000,platpharm,2411250642581116
거즈/붕대/탈지면,신성 멸균거즈,5cm*5cm / 5매*20EA,3700,platpharm,2411180534031285
거즈/붕대/탈지면,유성진멸균가아제이중포장 M,7.5cm*7.5cm*8겹 / 5P*20EA,5900,platpharm,2411190756242866
거즈/붕대/탈지면,상공 탄력붕대,15cm*190cm/12EA,10500,platpharm,2410250205010959
거즈/붕대/탈지면,성진탈지면(절단솜),20g / 10EA,6200,platpharm,2411150608422085
거즈/붕대/탈지면,수성 탈지면(곽포장),20g/10EA,6000,platpharm,2409260122250351
거즈/붕대/탈지면,유성진멸균가아제이중포장 L,10cm*10cm*8겹 / 5P*20EA,7900,platpharm,2411190755502863
거즈/붕대/탈지면,(기획)NEW 이케어 멸균거즈 소(5EA)+중(2EA)+대(3EA),10EA/1SET,47500,platpharm,2411140435371273
거즈/붕대/탈지면,3M 코반 1584(접착식 탄력붕대),10cm*4.5m / 1EA,3800,platpharm,2502270220480130
거즈/붕대/탈지면,수성붕대-엔,7.5*540cm*12EA/1EA,3950,platpharm,2409260109450317
거즈/붕대/탈지면,신성 탄력붕대,15cm*1.9m / 12EA,9240,platpharm,2411190628181983
거즈/붕대/탈지면,뉴 수성탄력붕대-S 6인치,15*190*12개입/1EA,9200,platpharm,2409260104590287
거즈/붕대/탈지면,신성 멸균거즈,7.5cm*7.5cm / 5매*20EA,5100,platpharm,2411180534261288
거즈/붕대/탈지면,대한 접은거즈(2인치*2인치*8겹),200매 / 1EA,2280,platpharm,2503270246570360
거즈/붕대/탈지면,대한 탈지면 코튼볼(필터형) 1호,450g/1EA,6200,platpharm,2411190152285643
거즈/붕대/탈지면,상공 압축 탈지면,150g/1EA,3840,platpharm,2410250140470914
거즈/붕대/탈지면,수성붕대-엔,10cm*540cm*12개입/1EA,4600,platpharm,2409260110340321
거즈/붕대/탈지면,신성 멸균거즈,10cm*10cm / 5매*20EA,7300,platpharm,2411180534551292
거즈/붕대/탈지면,신성 접은거즈,10cm*10cm*4겹 / 200매,5500,platpharm,2411180530091254
거즈/붕대/탈지면,포비스 자가점착탄력밴드 1인치,2.5cm*4.5m/1EA,760,platpharm,2409260113100324
거즈/붕대/탈지면,상공 압축 탈지면,50g/1EA,1190,platpharm,2410250142220916
거즈/붕대/탈지면,신성 거즈,7.5cm*7.5cm / 200매,5500,platpharm,2411180529151249
거즈/붕대/탈지면,상공 절단거즈 대,10cm*10cm*4겹/200매,7500,platpharm,2410250153400943
거즈/붕대/탈지면,성진 탈지면 코튼볼 1호,450g / 1EA,7800,platpharm,2411150558551995
거즈/붕대/탈지면,성진 탈지면(코튼볼) 세트,50g / 10EA,12000,platpharm,2411150600202010
거즈/붕대/탈지면,성진탈지면 M,50g / 10EA,8000,platpharm,2411150607562070
거즈/붕대/탈지면,수성 탈지면,150g/1EA,3000,platpharm,2409260126000364
거즈/붕대/탈지면,수성 탈지면 롤(두루마리형),450g/1EA,6000,platpharm,2409260123380354
거즈/붕대/탈지면,3M 코반 1582(점착식 탄력붕대)(2inch),5cm*4.5m/36EA,82000,platpharm,2407120701070253
거즈/붕대/탈지면,대한 멸균거즈(4.5cm*4.5cm),5매*20p / 1EA,3700,platpharm,2502040632102571
거즈/붕대/탈지면,상공 탈지면 중 세트,50g*10EA/1SET,11900,platpharm,2410250149300934
거즈/붕대/탈지면,성진탄력붕대 (3inch),7.5cm*190cm / 12롤,5390,platpharm,2411150605002035
거즈/붕대/탈지면,성진탄력붕대 (4inch),10cm*190cm / 12롤,7200,platpharm,2411150605402055
거즈/붕대/탈지면,성진탈지면(절단솜) 4cm*3cm,450g / 1EA,6850,platpharm,2411150613432118
거즈/붕대/탈지면,수성 가아제 3호,7.5cm*7.5cm*8겹 / 200매,5000,platpharm,2411150713272885
거즈/붕대/탈지면,수성 탈지면(절단솜/깍두기),450g/1EA,5400,platpharm,2409260125100361
거즈/붕대/탈지면,협성 접은거즈 3호,5*5*8p / 200매,2000,platpharm,2503120638083471
거즈/붕대/탈지면,3M 엘라스틱 테이프 위드라이너 2702,5cmX5m/1EA,6000,platpharm,2407110658550296
거즈/붕대/탈지면,대한 접은거즈(4인치*4인치*4겹),200매 / 1EA,5370,platpharm,2503270247210362
거즈/붕대/탈지면,대한 탈지면(절단솜),450g(4cm*4cm) / 1EA,5500,platpharm,2503270638495568
거즈/붕대/탈지면,밴드골드코바(자가점착붕대),3inch(7.5cm*4.5m)/1EA,1500,platpharm,2410230623280353
거즈/붕대/탈지면,상공 절단거즈 소,5cm*5cm*8겹/200매,4600,platpharm,2410250152450941
거즈/붕대/탈지면,수성 탈지면,10g / 20EA,6000,platpharm,2411150742413171
거즈/붕대/탈지면,신성 붕대A(3호),10cm*540cm / 12EA,3850,platpharm,2411180535401325
거즈/붕대/탈지면,신성 접은거즈,5cm*5cm*8겹 / 200매,2800,platpharm,2411180531261272
거즈/붕대/탈지면,이케어 탄력붕대(낱개),15cm*215cm / 1EA,190,platpharm,2504290547151494
